,Unnamed: 0,valid_from,changeset_id,tags_before,changeset_tags,geometry,comments
12189,12117,2013-09-01 02:32:53+00:00,17612349,"{'Lat': '32.54583', 'Long': '74.91528', 'Place': 'Rakh Jhang', 'Sl_No': '24678.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
12190,12118,2013-09-01 02:33:01+00:00,17612349,"{'Lat': '32.56025', 'Long': '74.85858', 'Place': 'Pindori Manhasan', 'Sl_No': '24789.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
11127,11055,2013-09-01 02:32:21+00:00,17612349,"{'Lat': '32.4716', 'Long': '74.91479', 'Place': 'Chak Jasu', 'Sl_No': '38012.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
11128,11056,2013-09-01 02:32:21+00:00,17612349,"{'Lat': '32.47196', 'Long': '74.91863', 'Place': 'Samdu Manhaspur', 'Sl_No': '38011.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
11129,11057,2013-09-01 02:32:22+00:00,17612349,"{'Lat': '32.47367', 'Long': '74.89103', 'Place': 'Chamlial', 'Sl_No': '38018.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
11130,11058,2013-09-01 02:32:25+00:00,17612349,"{'Lat': '32.48707', 'Long': '74.98442', 'Place': 'Kamor', 'Sl_No': '37998.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
11131,11059,2013-09-01 02:32:35+00:00,17612349,"{'Lat': '32.50264', 'Long': '74.8901', 'Place': 'Dewli Salehriyan', 'Sl_No': '24645.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
11132,11060,2013-09-01 02:32:41+00:00,17612349,"{'Lat': '32.51389', 'Long': '74.8625', 'Place': 'Kathar', 'Sl_No': '24640.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
11133,11061,2013-09-01 02:32:44+00:00,17612349,"{'Lat': '32.52095', 'Long': '74.79844', 'Place': 'Arnia', 'Sl_No': '19537.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
11134,11062,2013-09-01 02:32:48+00:00,17612349,"{'Lat': '32.53702', 'Long': '74.87105', 'Place': 'Shibbu Chak', 'Sl_No': '24689.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
11135,11063,2013-09-01 02:32:51+00:00,17612349,"{'Lat': '32.54299', 'Long': '74.91718', 'Place': 'Jhang', 'Sl_No': '24677.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
11136,11064,2013-09-01 02:33:04+00:00,17612349,"{'Lat': '32.56389', 'Long': '74.90556', 'Place': 'Chak Umra', 'Sl_No': '24775.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
11126,11054,2013-09-01 02:32:13+00:00,17612349,"{'Lat': '32.37068', 'Long': '75.52457', 'Place': 'Kathua', 'Sl_No': '11292.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
